"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop","cfr","recovery_rate","active_case_rate","tests_per_case","pop_category","testing_category"
"USA",111820082,1219487,109814428,786167,940,333985,3642,1186851502,3544901,334805269,3,275,0,2348,1.09057959732135,98.206356171336,0.703064231342631,10.6139387556521,"Very Large (>100M)","High Testing"
"India",45035393,533570,NA,NA,NA,32016,379,935879495,665334,1406631776,31,2636,2,0.4,1.18477926905179,NA,NA,20.7809776412965,"Very Large (>100M)","Medium Testing"
"France",40138560,167642,39970918,0,NA,612013,2556,271490188,4139547,65584518,2,391,0,NA,0.417658231884751,99.5823417681152,0,6.7638248108552,"Large (10-100M)","High Testing"
"Germany",38828995,183027,38240600,405368,NA,462891,2182,122332384,1458359,83883596,2,458,1,4833,0.47136682265405,98.4846504525806,1.04398272476535,3.1505421142113,"Large (10-100M)","High Testing"
"Brazil",38743918,711380,36249161,1783377,NA,179908,3303,63776166,296146,215353593,6,303,3,8281,1.83610754080163,93.5609067725159,4.60298568668249,1.64609490449572,"Very Large (>100M)","Medium Testing"
"S. Korea",34571873,35934,34535939,0,NA,673523,700,15804065,307892,51329899,1,1428,3,NA,0.103939986126873,99.8960600138731,0,0.457136499373349,"Large (10-100M)","Medium Testing"
"Japan",33803572,74694,NA,NA,NA,269169,595,100414883,799578,125584838,4,1681,1,95582,0.22096481401433,NA,NA,2.9705405984906,"Very Large (>100M)","Medium Testing"
"Italy",26723249,196487,26361218,165544,22,443445,3261,281126449,4665010,60262770,2,307,0,2747,0.735266134742823,98.6452582917594,0.619475573497818,10.519920276161,"Large (10-100M)","High Testing"
"UK",24910387,232112,24678275,0,NA,363666,3389,522526476,7628357,68497907,3,295,0,NA,0.931788012767525,99.0682119872325,0,20.9762488234326,"Large (10-100M)","High Testing"
"Russia",24124215,402756,23545818,175641,NA,165454,2762,273400000,1875095,145805947,6,362,1,1205,1.6695092462076,97.6024214673928,0.728069286399578,11.3330112503143,"Very Large (>100M)","High Testing"
