"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop"
"USA",111820082,1219487,109814428,786167,940,333985,3642,1186851502,3544901,334805269,3,275,0,2348
"India",45035393,533570,NA,NA,NA,32016,379,935879495,665334,1406631776,31,2636,2,0.4
"France",40138560,167642,39970918,0,NA,612013,2556,271490188,4139547,65584518,2,391,0,NA
"Germany",38828995,183027,38240600,405368,NA,462891,2182,122332384,1458359,83883596,2,458,1,4833
"Brazil",38743918,711380,36249161,1783377,NA,179908,3303,63776166,296146,215353593,6,303,3,8281
"S. Korea",34571873,35934,34535939,0,NA,673523,700,15804065,307892,51329899,1,1428,3,NA
"Japan",33803572,74694,NA,NA,NA,269169,595,100414883,799578,125584838,4,1681,1,95582
"Italy",26723249,196487,26361218,165544,22,443445,3261,281126449,4665010,60262770,2,307,0,2747
"UK",24910387,232112,24678275,0,NA,363666,3389,522526476,7628357,68497907,3,295,0,NA
"Russia",24124215,402756,23545818,175641,NA,165454,2762,273400000,1875095,145805947,6,362,1,1205
"Turkey",17232066,102174,NA,NA,NA,201399,1194,162743369,1902052,85561976,5,837,1,4024
"Spain",13914811,121760,13762417,30634,231,297840,2606,471036328,10082298,46719142,3,384,0,656
"Australia",11853144,24414,11820014,8716,3,454687,937,81916639,3142326,26068792,2,1068,0,334
"Vietnam",11625195,43206,10640971,941018,NA,117481,437,85826548,867342,98953541,9,2290,1,9510
"Taiwan",10241523,19005,10222518,0,NA,428720,796,30742304,1286903,23888595,2,1257,1,NA
"Argentina",10128845,130841,9997258,746,NA,220143,2844,35716069,776264,46010234,5,352,1,16
"Netherlands",8635786,22992,8612599,195,NA,501747,1336,25984435,1509718,17211447,2,749,1,11
"Mexico",7702809,334958,6899865,467986,NA,58549,2546,20013810,152124,131562772,17,393,7,3557
"Iran",7627186,146811,NA,NA,NA,88665,1707,57320267,666338,86022837,11,586,2,1199
"Indonesia",6829221,162063,6647104,20054,NA,24466,581,114158919,408975,279134505,41,1722,2,72
"Poland",6661991,120598,NA,NA,NA,176524,3196,39323709,1041970,37739785,6,313,1,31941
"Colombia",6400173,143200,6212152,44821,342,124244,2780,36951507,717327,51512762,8,360,1,870
"Greece",6101379,37869,NA,NA,NA,591412,3671,102228365,9909078,10316637,2,272,0,NA
"Austria",6081287,22542,6054934,3811,NA,670727,2486,211273524,23302116,9066710,1,402,0,420
"Portugal",5643062,28126,5614809,127,61,556484,2774,46139518,4549993,10140570,2,361,0,13
"Ukraine",5557995,112418,5445577,0,NA,128681,2603,32603805,754855,43192122,8,384,1,NA
"Chile",5384853,64497,5252450,67906,7,279730,3350,50382097,2617225,19250195,4,298,0,3528
"Malaysia",5278406,37348,5233268,7790,11,159079,1126,68580916,2066869,33181072,6,888,0,235
"Canada",4946090,59034,4881312,5744,99,128843,1538,66572774,1734189,38388419,8,650,1,150
"Belgium",4861695,34376,4826798,521,NA,416659,2946,37454182,3209915,11668278,2,339,0,45
"Israel",4841772,12707,4798473,30592,NA,519169,1363,41373364,4436346,9326000,2,734,0,3280
"DPRK",4772813,74,4772739,0,NA,183636,3,NA,NA,25990679,5,351225,NA,NA
"Thailand",4770149,34586,4692636,42927,NA,68069,494,17273454,246488,70078203,15,2026,4,613
"Czechia",4759041,43517,4715206,318,2,443246,4053,57834241,5386552,10736784,2,247,0,30
"Peru",4572667,222161,4350506,0,4,135751,6595,39010194,1158115,33684208,7,152,1,NA
"Switzerland",4453053,14452,4438309,292,NA,507549,1647,23833472,2716487,8773637,2,607,0,33
"Philippines",4140383,66864,4067381,6138,NA,36800,594,36102746,320888,112508994,27,1683,3,55
"South Africa",4076463,102595,3912506,61362,192,67095,1689,26795090,441027,60756135,15,592,2,1010
"Romania",3529735,68929,3460149,657,21,185470,3622,28758667,1511122,19031335,5,276,1,35
"Denmark",3183756,8814,3174942,0,NA,545636,1511,129333107,22165247,5834950,2,662,0,NA
"Singapore",3006155,2024,3004131,0,4,505785,341,24756666,4165302,5943546,2,2937,0,NA
"Hong Kong",2937609,14924,2916005,6680,NA,386309,1963,76127725,10011143,7604299,3,510,0,878
"Sweden",2754129,27407,2726492,230,NA,269511,2682,19500873,1908301,10218971,4,373,1,23
"New Zealand",2621111,5697,2613791,1623,NA,535117,1163,7768604,1586011,4898203,2,860,1,331
"Serbia",2615054,18057,2596608,389,NA,302213,2087,13463733,1555958,8653016,3,479,1,45
"Iraq",2465545,25375,2439497,673,NA,58474,602,19544451,463523,42164965,17,1662,2,16
"Hungary",2230232,49048,2152155,29029,NA,232164,5106,11394556,1186160,9606259,4,196,1,3022
"Bangladesh",2049377,29493,NA,NA,NA,12207,176,15254399,90862,167885689,82,5692,11,-168.58
"Slovakia",1877605,21224,1856381,0,23,343872,3887,7448789,1364199,5460193,3,257,1,NA
"Georgia",1861665,17132,NA,NA,NA,469082,4317,16920079,4263340,3968738,2,232,0,17130
"Jordan",1746997,14122,1731007,1868,59,169597,1371,17201885,1669945,10300869,6,729,1,181
"Ireland",1734582,9491,1724921,170,19,345521,1891,13083449,2606161,5020199,3,529,0,34
"Pakistan",1581936,30664,1538689,12583,NA,6893,134,30589153,133292,229488994,145,7484,8,55
"Finland",1516117,11958,1503989,170,NA,272930,2153,12108977,2179850,5554960,4,465,0,31
"Norway",1509732,6638,1503094,0,NA,273930,1204,11002430,1996315,5511370,4,830,1,NA
"Kazakhstan",1411831,13848,1383020,14963,24,73514,721,11575012,602707,19205043,14,1387,2,779
"Lithuania",1397806,9897,1387478,431,NA,525154,3718,10540357,3959997,2661708,2,269,0,162
